tchán;тесть (свекор)
tchyně;теща (свекровь)
strýc;дядя
teta;тетя
bratranec;двоюродный брат
sestřenice;двоюродная сестра
řidič;водитель
pracovník;рабочий
inženýr;инженер
lékař;врач
účetní;бухгалтер
malíř;художник
obývací pokoj;зал
zdravotní sestra;медсестра
únor;февраль
leden;январь
duben;апрель
březen;март
červen;июнь
květen;май
srpen;август
červenec;июль
říjen;октябрь
září;сентябрь
prosinec;декабрь
listopad;ноябрь
žehlička;утюг
pohlednice;открытка
obálka;конверт
přehrávač;плейер
překvapení;сюрприз
kapesník;носовой платок
zvítězit;побеждать
balónek;воздушный шарик
večírek;вечеринка
